Case,Asaba_Rad,Full_Case
"{'daughter': '1/2', 'mother': '1/6', 'sister': 'A'}","{'daughter': '1/2', 'mother': '1/6', 'sister': '1/3'}",,"{'daughter': 3.0, 'mother': 1.0, 'sister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'mother': '1/6', 'sister_x2': 'A'}","{'daughter': '1/2', 'mother': '1/6', 'sister_x2': '1/3'}",,"{'daughter': 3.0, 'mother': 1.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'mother': '1/6', 'paternal_halfsister': 'A'}","{'daughter': '1/2', 'mother': '1/6', 'paternal_halfsister': '1/3'}",,"{'daughter': 3.0, 'mother': 1.0, 'paternal_halfsister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'mother': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter': '1/2', 'mother': '1/6', 'paternal_halfsister_x2': '1/3'}",,"{'daughter': 3.0, 'mother': 1.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'mother': '1/6', 'maternal_halfsister': '0'}","{'daughter': '3/4', 'mother': '1/4', 'maternal_halfsister': '0'}",,"{'daughter': 3.0, 'mother': 1.0, 'maternal_halfsister': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'mother': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter': '3/4', 'mother': '1/4', 'maternal_halfsister_x2': '0'}",,"{'daughter': 3.0, 'mother': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'mother': '1/6', 'wife': '1/8'}","{'daughter': '21/32', 'mother': '7/32', 'wife': '1/8'}",,"{'daughter': 21.0, 'mother': 7.0, 'wife': 4.0, 'total_shares': 32.0}"
"{'daughter': '1/2', 'mother': '1/6', 'mutiqa': 'A'}","{'daughter': '1/2', 'mother': '1/6', 'mutiqa': '1/3'}",,"{'daughter': 3.0, 'mother': 1.0, 'mutiqa': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}","{'daughter': '3/4', 'grandmother_father': 'share 1/4', 'grandmother_mother': 'share 1/4'}",,"{'daughter': 6.0, 'grandmother_father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'sister': 'A'}","{'daughter': '1/2', 'grandmother_father': '1/6', 'sister': '1/3'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'sister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'sister_x2': 'A'}","{'daughter': '1/2', 'grandmother_father': '1/6', 'sister_x2': '1/3'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'paternal_halfsister': 'A'}","{'daughter': '1/2', 'grandmother_father': '1/6', 'paternal_halfsister': '1/3'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'paternal_halfsister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter': '1/2', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '1/3'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'maternal_halfsister': '0'}","{'daughter': '3/4', 'grandmother_father': '1/4', 'maternal_halfsister': '0'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'maternal_halfsister': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter': '3/4', 'grandmother_father': '1/4', 'maternal_halfsister_x2': '0'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'wife': '1/8'}","{'daughter': '21/32', 'grandmother_father': '7/32', 'wife': '1/8'}",,"{'daughter': 21.0, 'grandmother_father': 7.0, 'wife': 4.0, 'total_shares': 32.0}"
"{'daughter': '1/2', 'grandmother_father': '1/6', 'mutiqa': 'A'}","{'daughter': '1/2', 'grandmother_father': '1/6', 'mutiqa': '1/3'}",,"{'daughter': 3.0, 'grandmother_father': 1.0, 'mutiqa': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'sister': 'A'}","{'daughter': '1/2', 'grandmother_mother': '1/6', 'sister': '1/3'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'sister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'sister_x2': 'A'}","{'daughter': '1/2', 'grandmother_mother': '1/6', 'sister_x2': '1/3'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'paternal_halfsister': 'A'}","{'daughter': '1/2', 'grandmother_mother': '1/6', 'paternal_halfsister': '1/3'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'paternal_halfsister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter': '1/2', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '1/3'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'maternal_halfsister': '0'}","{'daughter': '3/4', 'grandmother_mother': '1/4', 'maternal_halfsister': '0'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'maternal_halfsister': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter': '3/4', 'grandmother_mother': '1/4', 'maternal_halfsister_x2': '0'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'wife': '1/8'}","{'daughter': '21/32', 'grandmother_mother': '7/32', 'wife': '1/8'}",,"{'daughter': 21.0, 'grandmother_mother': 7.0, 'wife': 4.0, 'total_shares': 32.0}"
"{'daughter': '1/2', 'grandmother_mother': '1/6', 'mutiqa': 'A'}","{'daughter': '1/2', 'grandmother_mother': '1/6', 'mutiqa': '1/3'}",,"{'daughter': 3.0, 'grandmother_mother': 1.0, 'mutiqa': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'sister': 'A', 'paternal_halfsister': '0'}","{'daughter': '1/2', 'sister': '1/2', 'paternal_halfsister': '0'}",,"{'daughter': 1.0, 'sister': 1.0, 'paternal_halfsister': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'sister': 'A', 'paternal_halfsister_x2': '0'}","{'daughter': '1/2', 'sister': '1/2', 'paternal_halfsister_x2': '0'}",,"{'daughter': 1.0, 'sister': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'sister': 'A', 'maternal_halfsister': '0'}","{'daughter': '1/2', 'sister': '1/2', 'maternal_halfsister': '0'}",,"{'daughter': 1.0, 'sister': 1.0, 'maternal_halfsister': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'sister': 'A', 'maternal_halfsister_x2': '0'}","{'daughter': '1/2', 'sister': '1/2', 'maternal_halfsister_x2': '0'}",,"{'daughter': 1.0, 'sister': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'sister': 'A', 'wife': '1/8'}","{'daughter': '1/2', 'sister': '3/8', 'wife': '1/8'}",,"{'daughter': 4.0, 'sister': 3.0, 'wife': 1.0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'sister': 'A', 'mutiqa': '0'}","{'daughter': '1/2', 'sister': '1/2', 'mutiqa': '0'}",,"{'daughter': 1.0, 'sister': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'paternal_halfsister': '0'}","{'daughter': '1/2', 'sister_x2': '1/2', 'paternal_halfsister': '0'}",,"{'daughter': 2.0, 'paternal_halfsister': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'paternal_halfsister_x2': '0'}","{'daughter': '1/2', 'sister_x2': '1/2', 'paternal_halfsister_x2': '0'}",,"{'daughter': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'maternal_halfsister': '0'}","{'daughter': '1/2', 'sister_x2': '1/2', 'maternal_halfsister': '0'}",,"{'daughter': 2.0, 'maternal_halfsister': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'maternal_halfsister_x2': '0'}","{'daughter': '1/2', 'sister_x2': '1/2', 'maternal_halfsister_x2': '0'}",,"{'daughter': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'wife': '1/8'}","{'daughter': '1/2', 'sister_x2': '3/8', 'wife': '1/8'}",,"{'daughter': 8.0, 'wife': 2.0, 'sister_1': 3.0, 'sister_2': 3.0, 'total_shares': 16.0}"
"{'daughter': '1/2', 'sister_x2': 'A', 'mutiqa': '0'}","{'daughter': '1/2', 'sister_x2': '1/2', 'mutiqa': '0'}",,"{'daughter': 2.0, 'mutiqa': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'paternal_halfsister': 'A', 'maternal_halfsister': '0'}","{'daughter': '1/2', 'paternal_halfsister': '1/2', 'maternal_halfsister': '0'}",,"{'daughter': 1.0, 'paternal_halfsister': 1.0, 'maternal_halfsister': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'paternal_halfsister': 'A', 'maternal_halfsister_x2': '0'}","{'daughter': '1/2', 'paternal_halfsister': '1/2', 'maternal_halfsister_x2': '0'}",,"{'daughter': 1.0, 'paternal_halfsister': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'paternal_halfsister': 'A', 'wife': '1/8'}","{'daughter': '1/2', 'paternal_halfsister': '3/8', 'wife': '1/8'}",,"{'daughter': 4.0, 'paternal_halfsister': 3.0, 'wife': 1.0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'paternal_halfsister': 'A', 'mutiqa': '0'}","{'daughter': '1/2', 'paternal_halfsister': '1/2', 'mutiqa': '0'}",,"{'daughter': 1.0, 'paternal_halfsister': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'paternal_halfsister_x2': 'A', 'maternal_halfsister': '0'}","{'daughter': '1/2', 'paternal_halfsister_x2': '1/2', 'maternal_halfsister': '0'}",,"{'daughter': 2.0, 'maternal_halfsister': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'paternal_halfsister_x2': 'A', 'maternal_halfsister_x2': '0'}","{'daughter': '1/2', 'paternal_halfsister_x2': '1/2', 'maternal_halfsister_x2': '0'}",,"{'daughter': 2.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'paternal_halfsister_x2': 'A', 'wife': '1/8'}","{'daughter': '1/2', 'paternal_halfsister_x2': '3/8', 'wife': '1/8'}",,"{'daughter': 8.0, 'wife': 2.0, 'paternal_halfsister_1': 3.0, 'paternal_halfsister_2': 3.0, 'total_shares': 16.0}"
"{'daughter': '1/2', 'paternal_halfsister_x2': 'A', 'mutiqa': '0'}","{'daughter': '1/2', 'paternal_halfsister_x2': '1/2', 'mutiqa': '0'}",,"{'daughter': 2.0, 'mutiqa': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'maternal_halfsister': '0', 'wife': '1/8'}","{'daughter': '7/8', 'maternal_halfsister': '0', 'wife': '1/8'}",,"{'daughter': 7.0, 'maternal_halfsister': 0, 'wife': 1.0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'maternal_halfsister': '0', 'mutiqa': 'A'}","{'daughter': '1/2', 'maternal_halfsister': '0', 'mutiqa': '1/2'}",,"{'daughter': 1.0, 'maternal_halfsister': 0, 'mutiqa': 1.0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'maternal_halfsister_x2': '0', 'wife': '1/8'}","{'daughter': '7/8', 'maternal_halfsister_x2': '0', 'wife': '1/8'}",,"{'daughter': 7.0, 'wife': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'maternal_halfsister_x2': '0', 'mutiqa': 'A'}","{'daughter': '1/2', 'maternal_halfsister_x2': '0', 'mutiqa': '1/2'}",,"{'daughter': 1.0, 'mutiqa': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter': '1/2', 'wife': '1/8', 'mutiqa': 'A'}","{'daughter': '1/2', 'wife': '1/8', 'mutiqa': '3/8'}",,"{'daughter': 4.0, 'wife': 1.0, 'mutiqa': 3.0, 'total_shares': 8.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'mother': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son': '0', 'mother': '1/5'}",,"{'daughter_of_son': 0, 'mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'grandmother_father': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son': '0', 'grandmother_father': '1/5'}",,"{'daughter_of_son': 0, 'grandmother_father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'grandmother_mother': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son': '0', 'grandmother_mother': '1/5'}",,"{'daughter_of_son': 0, 'grandmother_mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'sister': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son': '0', 'sister': '1/3'}",,"{'daughter_of_son': 0, 'sister': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'sister_x2': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son': '0', 'sister_x2': '1/3'}",,"{'daughter_of_son': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'paternal_halfsister': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son': '0', 'paternal_halfsister': '1/3'}",,"{'daughter_of_son': 0, 'paternal_halfsister': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'paternal_halfsister_x2': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son': '0', 'paternal_halfsister_x2': '1/3'}",,"{'daughter_of_son': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'maternal_halfsister': '0'}","{'daughter_x2': '1', 'daughter_of_son': '0', 'maternal_halfsister': '0'}",,"{'daughter_of_son': 0, 'maternal_halfsister': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 2.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'maternal_halfsister_x2': '0'}","{'daughter_x2': '1', 'daughter_of_son': '0', 'maternal_halfsister_x2': '0'}",,"{'daughter_of_son': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'wife': '1/8'}","{'daughter_x2': '7/8', 'daughter_of_son': '0', 'wife': '1/8'}",,"{'daughter_of_son': 0, 'wife': 2.0, 'daughter_1': 7.0, 'daughter_2': 7.0, 'total_shares': 16.0}"
"{'daughter_x2': '2/3', 'daughter_of_son': '0', 'mutiqa': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son': '0', 'mutiqa': '1/3'}",,"{'daughter_of_son': 0, 'mutiqa': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'mother': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son_x2': '0', 'mother': '1/5'}",,"{'mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'grandmother_father': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son_x2': '0', 'grandmother_father': '1/5'}",,"{'grandmother_father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'grandmother_mother': '1/6'}","{'daughter_x2': '4/5', 'daughter_of_son_x2': '0', 'grandmother_mother': '1/5'}",,"{'grandmother_mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'sister': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'sister': '1/3'}",,"{'sister': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'sister_x2': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'sister_x2': '1/3'}",,"{'daughter_1': 2.0, 'daughter_2': 2.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'paternal_halfsister': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'paternal_halfsister': '1/3'}",,"{'paternal_halfsister': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'paternal_halfsister_x2': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'paternal_halfsister_x2': '1/3'}",,"{'daughter_1': 2.0, 'daughter_2': 2.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'maternal_halfsister': '0'}","{'daughter_x2': '1', 'daughter_of_son_x2': '0', 'maternal_halfsister': '0'}",,"{'maternal_halfsister': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 2.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'maternal_halfsister_x2': '0'}","{'daughter_x2': '1', 'daughter_of_son_x2': '0', 'maternal_halfsister_x2': '0'}",,"{'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'wife': '1/8'}","{'daughter_x2': '7/8', 'daughter_of_son_x2': '0', 'wife': '1/8'}",,"{'wife': 2.0, 'daughter_1': 7.0, 'daughter_2': 7.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 16.0}"
"{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'mutiqa': 'A'}","{'daughter_x2': '2/3', 'daughter_of_son_x2': '0', 'mutiqa': '1/3'}",,"{'mutiqa': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 3.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'grandmother_father': '0'}","{'daughter_x2': '4/5', 'mother': '1/5', 'grandmother_father': '0'}",,"{'mother': 1.0, 'grandmother_father': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'grandmother_mother': '0'}","{'daughter_x2': '4/5', 'mother': '1/5', 'grandmother_mother': '0'}",,"{'mother': 1.0, 'grandmother_mother': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'sister': 'A'}","{'daughter_x2': '2/3', 'mother': '1/6', 'sister': '1/6'}",,"{'mother': 1.0, 'sister': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'sister_x2': 'A'}","{'daughter_x2': '2/3', 'mother': '1/6', 'sister_x2': '1/6'}",,"{'mother': 2.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 12.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'paternal_halfsister': 'A'}","{'daughter_x2': '2/3', 'mother': '1/6', 'paternal_halfsister': '1/6'}",,"{'mother': 1.0, 'paternal_halfsister': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter_x2': '2/3', 'mother': '1/6', 'paternal_halfsister_x2': '1/6'}",,"{'mother': 2.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'maternal_halfsister': '0'}","{'daughter_x2': '4/5', 'mother': '1/5', 'maternal_halfsister': '0'}",,"{'mother': 1.0, 'maternal_halfsister': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter_x2': '4/5', 'mother': '1/5', 'maternal_halfsister_x2': '0'}",,"{'mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'wife': '1/8'}","{'daughter_x2': '7/10', 'mother': '7/40', 'wife': '1/8'}",,"{'mother': 7.0, 'wife': 5.0, 'daughter_1': 14.0, 'daughter_2': 14.0, 'total_shares': 40.0}"
"{'daughter_x2': '2/3', 'mother': '1/6', 'mutiqa': 'A'}","{'daughter_x2': '2/3', 'mother': '1/6', 'mutiqa': '1/6'}",,"{'mother': 1.0, 'mutiqa': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}","{'daughter_x2': '4/5', 'grandmother_father': 'share 1/5', 'grandmother_mother': 'share 1/5'}",,"{'grandmother_father': 1.0, 'grandmother_mother': 1.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'total_shares': 10.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'sister': 'A'}","{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'sister': '1/6'}",,"{'grandmother_father': 1.0, 'sister': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'sister_x2': 'A'}","{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'sister_x2': '1/6'}",,"{'grandmother_father': 2.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 12.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'paternal_halfsister': 'A'}","{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'paternal_halfsister': '1/6'}",,"{'grandmother_father': 1.0, 'paternal_halfsister': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '1/6'}",,"{'grandmother_father': 2.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'maternal_halfsister': '0'}","{'daughter_x2': '4/5', 'grandmother_father': '1/5', 'maternal_halfsister': '0'}",,"{'grandmother_father': 1.0, 'maternal_halfsister': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter_x2': '4/5', 'grandmother_father': '1/5', 'maternal_halfsister_x2': '0'}",,"{'grandmother_father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 5.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'wife': '1/8'}","{'daughter_x2': '7/10', 'grandmother_father': '7/40', 'wife': '1/8'}",,"{'grandmother_father': 7.0, 'wife': 5.0, 'daughter_1': 14.0, 'daughter_2': 14.0, 'total_shares': 40.0}"
"{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'mutiqa': 'A'}","{'daughter_x2': '2/3', 'grandmother_father': '1/6', 'mutiqa': '1/6'}",,"{'grandmother_father': 1.0, 'mutiqa': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
